Time,L_Reach,L_Grasp,L_Manipulation,L_Transport,L_Place,R_Reach,R_Grasp,R_Manipulation,R_Transport,R_Place
2.6932 sec,0,0,0,0,0,0,0,1,0,0
2.7099 sec,0,0,0,0,0,0,0,1,0,0
2.7265 sec,0,0,0,0,0,0,0,1,0,0
2.7432 sec,0,0,0,0,0,0,0,1,0,0
2.7599 sec,0,0,0,0,0,0,0,1,0,0
2.7766 sec,0,0,0,0,0,0,0,1,0,0
2.7933 sec,0,0,0,0,0,0,0,1,0,0
2.81 sec,0,0,0,0,0,0,0,1,0,0
2.8266 sec,0,0,0,0,0,0,0,1,0,0
2.8433 sec,0,0,0,0,0,0,0,1,0,0
2.86 sec,0,0,0,0,0,0,0,1,0,0
2.8767 sec,0,0,0,0,0,0,0,1,0,0
2.8934 sec,0,0,0,0,0,0,0,1,0,0
2.9101 sec,0,0,0,0,0,0,0,1,0,0
2.9267 sec,0,0,0,0,0,0,0,1,0,0
2.9434 sec,0,0,0,0,0,0,0,1,0,0
2.9601 sec,0,0,0,0,0,0,0,0,0,0
2.9768 sec,0,0,0,0,0,0,0,0,0,0
2.9935 sec,0,0,0,0,0,0,0,0,0,0
3.0102 sec,0,0,0,0,0,0,0,0,0,0
3.0268 sec,0,0,0,0,0,0,0,0,0,0
3.0435 sec,0,0,0,0,0,0,0,0,0,0
3.0602 sec,0,0,0,0,0,0,0,0,0,0
3.0769 sec,0,0,0,0,0,0,0,0,0,0
3.0936 sec,0,0,0,0,0,0,0,0,0,0
3.1103 sec,0,0,0,0,0,0,0,0,0,0
3.1269 sec,0,0,0,0,0,0,0,0,0,0
3.1436 sec,0,0,0,0,0,0,0,0,0,0
3.1603 sec,0,0,0,0,0,0,0,0,0,0
3.177 sec,0,0,0,0,0,0,0,0,0,0
3.1937 sec,0,0,0,0,0,0,0,0,0,0
3.2104 sec,0,0,0,0,0,0,0,0,0,0
3.227 sec,0,0,0,0,0,0,0,0,0,0
3.2437 sec,0,0,0,0,0,0,0,0,0,0
3.2604 sec,0,0,0,0,0,0,0,0,0,0
3.2771 sec,0,0,0,0,0,0,0,0,0,0
3.2938 sec,0,0,0,0,0,0,0,0,0,0
3.3105 sec,0,0,0,0,0,0,0,0,0,0
3.3271 sec,0,0,0,0,0,0,0,0,0,0
3.3438 sec,0,0,0,0,0,0,0,0,0,0
3.3605 sec,0,0,0,0,0,0,0,0,0,0
3.3772 sec,0,0,0,0,0,0,0,0,0,0
3.3939 sec,0,0,0,0,0,0,0,0,0,0
3.4106 sec,0,0,0,0,0,0,0,0,0,0
3.4272 sec,0,0,0,0,0,0,0,0,0,0
3.4439 sec,0,0,0,0,0,0,0,0,0,0
3.4606 sec,0,0,0,0,0,0,0,0,0,0
3.4773 sec,0,0,0,0,0,0,0,0,0,0
3.494 sec,0,0,0,0,0,0,0,0,0,0
3.5107 sec,0,0,0,0,0,0,0,0,0,0
3.5273 sec,0,0,0,0,0,0,0,0,0,0
3.544 sec,0,0,0,0,0,0,0,0,0,0
3.5607 sec,0,0,0,0,0,0,0,0,0,0
3.5774 sec,0,0,0,0,0,0,0,0,0,0
3.5941 sec,0,0,0,0,0,0,0,0,0,0
3.6108 sec,0,0,0,0,0,0,0,0,0,0
3.6274 sec,0,0,0,0,0,0,0,0,0,0
3.6441 sec,0,0,0,0,0,0,0,0,0,0
3.6608 sec,0,0,0,0,0,0,0,0,0,0
3.6775 sec,0,0,0,0,0,0,0,0,0,0
3.6942 sec,0,0,0,0,0,0,0,0,0,0
3.7109 sec,0,0,0,0,0,0,0,0,0,0
3.7275 sec,0,0,0,0,0,0,0,0,0,0
3.7442 sec,0,0,0,0,0,0,0,0,0,0
3.7609 sec,0,0,0,0,0,0,0,0,0,0
3.7776 sec,0,0,0,0,0,0,0,0,0,0
3.7943 sec,0,0,0,0,0,0,0,0,0,0
3.811 sec,0,0,0,0,0,0,0,0,0,0
3.8276 sec,0,0,0,0,0,0,0,0,0,0
3.8443 sec,0,0,0,0,0,0,0,0,0,0
3.861 sec,0,0,0,0,0,0,0,0,0,0
3.8777 sec,0,0,0,0,0,0,0,0,0,0
3.8944 sec,0,0,0,0,0,0,0,0,0,0
3.9111 sec,0,0,0,0,0,0,0,0,0,0
3.9277 sec,0,0,0,0,0,0,0,0,0,0
3.9444 sec,0,0,0,0,0,0,0,0,0,0
3.9611 sec,0,0,0,0,0,0,0,0,0,0
3.9778 sec,0,0,0,0,0,0,0,0,0,0
3.9945 sec,0,0,0,0,0,0,0,0,0,0
4.0112 sec,0,0,0,0,0,0,0,0,0,0
4.0278 sec,0,0,0,0,0,0,0,0,0,0
4.0445 sec,0,0,0,0,0,0,0,0,0,0
4.0612 sec,0,0,0,0,0,0,0,0,0,0
4.0779 sec,0,0,0,0,0,0,0,0,0,0
4.0946 sec,0,0,0,0,0,0,0,0,0,0
4.1113 sec,0,0,0,0,0,0,0,0,0,0
4.1279 sec,0,0,0,0,0,0,0,0,0,0
4.1446 sec,0,0,0,0,0,0,0,0,0,0
4.1613 sec,0,0,0,0,0,0,0,0,0,0
4.178 sec,0,0,0,0,0,0,0,0,0,0
4.1947 sec,0,0,0,0,0,0,0,0,0,0
4.2114 sec,0,0,0,0,0,0,0,0,0,0
4.228 sec,0,0,0,0,0,0,0,0,0,0
4.2447 sec,0,0,0,0,0,0,0,0,0,0
4.2614 sec,0,0,0,0,0,0,0,0,0,0
4.2781 sec,0,0,0,0,0,0,0,0,0,0
4.2948 sec,0,0,0,0,0,0,0,0,0,0
4.3115 sec,0,0,0,0,0,0,0,0,0,0
4.3281 sec,0,0,0,0,0,0,0,0,0,0
4.3448 sec,0,0,0,0,0,0,0,0,0,0
4.3615 sec,0,0,0,0,0,0,0,0,0,0
4.3782 sec,0,0,0,0,0,0,0,0,0,0
4.3949 sec,0,0,0,0,0,0,0,0,0,0
4.4116 sec,0,0,0,0,0,0,0,0,0,0
4.4282 sec,0,0,0,0,0,0,0,0,0,0
4.4449 sec,0,0,0,0,0,0,0,0,0,0
4.4616 sec,0,0,0,0,0,0,0,0,0,0
4.4783 sec,0,0,0,0,0,0,0,0,0,0
4.495 sec,0,0,0,0,0,0,0,0,0,0
4.5117 sec,0,0,0,0,0,0,0,0,0,0
4.5283 sec,0,0,0,0,0,0,0,0,0,0
4.545 sec,0,0,0,0,0,0,0,0,0,0
4.5617 sec,0,0,0,0,0,0,0,0,0,0
4.5784 sec,0,0,0,0,0,0,0,0,0,0
4.5951 sec,0,0,0,0,0,0,0,0,0,0
4.6118 sec,0,0,0,0,0,0,0,0,0,0
4.6284 sec,0,0,0,0,0,0,0,0,0,0
4.6451 sec,0,0,0,0,0,0,0,0,0,0
4.6618 sec,0,0,0,0,0,0,0,0,0,0
4.6785 sec,0,0,0,0,0,0,0,0,0,0
4.6952 sec,0,0,0,0,0,0,0,0,0,0
4.7119 sec,0,0,0,0,0,0,0,0,0,0
4.7285 sec,0,0,0,0,0,0,0,0,0,0
4.7452 sec,0,0,0,0,0,0,0,0,0,0
4.7619 sec,0,0,0,0,0,0,0,0,0,0
4.7786 sec,0,0,0,0,0,0,0,0,0,0
4.7953 sec,0,0,0,0,0,0,0,0,0,0
4.812 sec,0,0,0,0,0,0,0,0,0,0
4.8286 sec,0,0,0,0,0,0,0,0,0,0
4.8453 sec,0,0,0,0,0,0,0,0,0,0
4.862 sec,0,0,0,0,0,0,0,0,0,0
4.8787 sec,0,0,0,0,0,0,0,0,0,0
4.8954 sec,0,0,0,0,0,0,0,0,0,0
4.9121 sec,0,0,0,0,0,0,0,0,0,0
4.9287 sec,0,0,0,0,0,0,0,0,0,0
4.9454 sec,0,0,0,0,0,0,0,0,0,0
4.9621 sec,0,0,0,0,0,0,0,0,0,0
4.9788 sec,0,0,0,0,0,0,0,0,0,0
4.9955 sec,0,0,0,0,0,0,0,0,0,0
5.0122 sec,0,0,0,0,0,0,0,0,0,0
5.0288 sec,0,0,0,0,0,0,0,0,0,0
5.0455 sec,0,0,0,0,0,0,0,0,0,0
5.0622 sec,0,0,0,0,0,0,0,0,0,0
5.0789 sec,0,0,0,0,0,0,0,0,0,0
5.0956 sec,0,0,0,0,0,0,0,0,0,0
5.1123 sec,0,0,0,0,0,0,0,0,0,0
5.1289 sec,0,0,0,0,0,0,0,0,0,0
5.1456 sec,0,0,0,0,0,0,0,0,0,0
5.1623 sec,0,0,0,0,0,0,0,0,0,0
5.179 sec,0,0,0,0,0,0,0,0,0,0
5.1957 sec,0,0,0,0,0,0,0,0,0,0
5.2124 sec,0,0,0,0,0,0,0,0,0,0
5.229 sec,0,0,0,0,0,0,0,0,0,0
5.2457 sec,0,0,0,0,0,0,0,0,0,0
5.2624 sec,0,0,0,0,0,0,0,0,0,0
5.2791 sec,0,0,0,0,0,0,0,0,0,0
5.2958 sec,0,0,0,0,0,0,0,0,0,0
5.3125 sec,0,0,0,0,0,0,0,0,0,0
5.3291 sec,0,0,0,0,0,0,0,0,0,0
5.3458 sec,0,0,0,0,0,0,0,0,0,0
5.3625 sec,0,0,0,0,0,0,0,0,0,0
5.3792 sec,0,0,0,0,0,0,0,0,0,0
5.3959 sec,0,0,0,0,0,0,0,0,0,0
5.4126 sec,0,0,0,0,0,0,0,0,0,0
5.4292 sec,0,0,0,0,0,0,0,0,0,0
5.4459 sec,0,0,0,0,0,0,0,0,0,0
5.4626 sec,0,0,0,0,0,0,0,0,0,0
5.4793 sec,0,0,0,0,0,0,0,0,0,0
5.496 sec,0,0,0,0,0,0,0,0,0,0
5.5127 sec,0,0,0,0,0,0,0,0,0,0
5.5293 sec,0,0,0,0,0,0,0,0,0,0
5.546 sec,0,0,0,0,0,0,0,0,0,0
5.5627 sec,0,0,0,0,0,0,0,0,0,0
5.5794 sec,0,0,0,0,0,0,0,0,0,0
5.5961 sec,0,0,0,0,0,0,0,0,0,0
5.6128 sec,0,0,0,0,0,0,0,0,0,0
5.6294 sec,0,0,0,0,0,0,0,0,0,0
5.6461 sec,0,0,0,0,0,0,0,0,0,0
5.6628 sec,0,0,0,0,0,0,0,0,0,0
5.6795 sec,0,0,0,0,0,0,0,0,0,0
5.6962 sec,0,0,0,0,0,0,0,0,0,0
5.7129 sec,0,0,0,0,0,0,0,0,0,0
5.7295 sec,0,0,0,0,0,0,0,0,0,0
5.7462 sec,0,0,0,0,0,0,0,0,0,0
5.7629 sec,0,0,0,0,0,0,0,0,0,0
5.7796 sec,0,0,0,0,0,0,0,0,0,0
5.7963 sec,0,0,0,0,0,0,0,0,0,0
5.813 sec,0,0,0,0,0,0,0,0,0,0
5.8296 sec,0,0,0,0,0,0,0,0,0,0
5.8463 sec,0,0,0,0,0,0,0,0,0,0
5.863 sec,0,0,0,0,0,0,0,0,0,0
5.8797 sec,0,0,0,0,0,0,0,0,0,0
5.8964 sec,0,0,0,0,0,0,0,0,0,0
5.9131 sec,0,0,0,0,0,0,0,0,0,0
5.9297 sec,0,0,0,0,0,0,0,0,0,0
5.9464 sec,0,0,0,0,0,0,0,0,0,0
5.9631 sec,0,0,0,0,0,0,0,0,0,0
5.9798 sec,0,0,0,0,0,0,0,0,0,0
5.9965 sec,0,0,0,0,0,0,0,0,0,0
6.0132 sec,0,0,0,0,0,0,0,0,0,0
6.0298 sec,0,0,0,0,0,0,0,0,0,0
6.0465 sec,0,0,0,0,0,0,0,0,0,0
6.0632 sec,0,0,0,0,0,0,0,0,0,0
6.0799 sec,0,0,0,0,0,0,0,0,0,0
6.0966 sec,0,0,0,0,0,0,0,0,0,0
6.1133 sec,0,0,0,0,0,0,0,0,0,0
6.1299 sec,0,0,0,0,0,0,0,0,0,0
6.1466 sec,0,0,0,0,0,0,0,0,0,0
6.1633 sec,0,0,0,0,0,0,0,0,0,0
6.18 sec,0,0,0,0,0,0,0,0,0,0
6.1967 sec,0,0,0,0,0,0,0,0,0,0
6.2134 sec,0,0,0,0,0,0,0,0,0,0
6.23 sec,0,0,0,0,0,0,0,0,0,0
6.2467 sec,0,0,0,0,0,0,0,0,0,0
6.2634 sec,0,0,0,0,0,0,0,0,0,0
6.2801 sec,0,0,0,0,0,0,0,0,0,0
6.2968 sec,0,0,0,0,0,0,0,0,0,0
6.3135 sec,0,0,0,0,0,0,0,0,0,0
6.3301 sec,0,0,0,0,0,0,0,0,0,0
6.3468 sec,0,0,0,0,0,0,0,0,0,0
6.3635 sec,0,0,0,0,0,0,0,0,0,0
6.3802 sec,0,0,0,0,0,0,0,0,0,0
6.3969 sec,0,0,0,0,0,0,0,0,0,0
6.4136 sec,0,0,0,0,0,0,0,0,0,0
6.4302 sec,0,0,0,0,0,0,0,0,0,0
6.4469 sec,0,0,0,0,0,0,0,0,0,0
6.4636 sec,0,0,0,0,0,0,0,0,0,0
6.4803 sec,0,0,0,0,0,0,0,0,0,0
6.497 sec,0,0,0,0,0,0,0,0,0,0
6.5137 sec,0,0,0,0,0,0,0,0,0,0
6.5303 sec,0,0,0,0,0,0,0,0,0,0
6.547 sec,0,0,0,0,0,0,0,0,0,0
6.5637 sec,0,0,0,0,0,0,0,0,0,0
6.5804 sec,0,0,0,0,0,0,0,0,0,0
6.5971 sec,0,0,0,0,0,0,0,0,0,0
6.6138 sec,0,0,0,0,0,0,0,0,0,0
6.6304 sec,0,0,0,0,0,0,0,0,0,0
6.6471 sec,0,0,0,0,0,0,0,0,0,0
6.6638 sec,0,0,0,0,0,0,0,0,0,0
6.6805 sec,0,0,0,0,0,0,0,0,0,0
6.6972 sec,0,0,0,0,0,0,0,0,0,0
6.7139 sec,0,0,0,0,0,0,0,0,0,0
6.7305 sec,0,0,0,0,0,0,0,0,0,0
6.7472 sec,1,0,0,0,0,0,0,0,0,0
6.7639 sec,1,0,0,0,0,0,0,0,0,0
6.7806 sec,1,0,0,0,0,0,0,0,0,0
6.7973 sec,1,0,0,0,0,0,0,0,0,0
6.814 sec,1,0,0,0,0,0,0,0,0,0
6.8306 sec,1,0,0,0,0,0,0,0,0,0
6.8473 sec,1,0,0,0,0,0,0,0,0,0
6.864 sec,1,0,0,0,0,0,0,0,0,0
6.8807 sec,1,0,0,0,0,0,0,0,0,0
6.8974 sec,1,0,0,0,0,0,0,0,0,0
6.9141 sec,1,0,0,0,0,0,0,0,0,0
6.9307 sec,1,0,0,0,0,0,0,0,0,0
6.9474 sec,1,0,0,0,0,0,0,0,1,0
6.9641 sec,1,0,0,0,0,0,0,0,1,0
6.9808 sec,1,0,0,0,0,0,0,0,1,0
6.9975 sec,1,0,0,0,0,0,0,0,1,0
7.0142 sec,1,0,0,0,0,0,0,0,1,0
7.0308 sec,1,0,0,0,0,0,0,0,1,0
7.0475 sec,1,0,0,0,0,0,0,0,1,0
7.0642 sec,1,0,0,0,0,0,0,0,1,0
7.0809 sec,1,0,0,0,0,0,0,0,1,0
7.0976 sec,1,0,0,0,0,0,0,0,1,0
7.1143 sec,1,0,0,0,0,0,0,0,1,0
7.1309 sec,1,0,0,0,0,0,0,0,1,0
7.1476 sec,1,0,0,0,0,0,0,0,1,0
7.1643 sec,1,0,0,0,0,0,0,0,1,0
7.181 sec,1,0,0,0,0,0,0,0,1,0
7.1977 sec,1,0,0,0,0,0,0,0,1,0
7.2144 sec,1,0,0,0,0,0,0,0,1,0
7.231 sec,1,0,0,0,0,0,0,0,1,0
7.2477 sec,1,0,0,0,0,0,0,0,1,0
7.2644 sec,1,0,0,0,0,0,0,0,1,0
7.2811 sec,1,0,0,0,0,0,0,0,1,0
7.2978 sec,1,0,0,0,0,0,0,0,1,0
7.3145 sec,1,0,0,0,0,0,0,0,1,0
7.3311 sec,1,0,0,0,0,0,0,0,0,1
7.3478 sec,1,0,0,0,0,0,0,0,0,1
7.3645 sec,1,0,0,0,0,0,0,0,0,1
7.3812 sec,1,0,0,0,0,0,0,0,0,1
7.3979 sec,1,1,0,0,0,0,0,0,0,1
7.4146 sec,0,1,0,0,0,0,0,0,0,1
7.4312 sec,0,1,0,0,0,0,0,0,0,1
7.4479 sec,0,1,0,0,0,0,0,0,0,1
7.4646 sec,0,1,0,0,0,0,0,0,0,1
7.4813 sec,0,1,0,0,0,0,0,0,0,1
7.498 sec,0,1,0,0,0,0,0,0,0,1
7.5147 sec,0,1,0,0,0,0,0,0,0,1
7.5313 sec,0,1,0,0,0,0,0,0,0,1
7.548 sec,0,0,0,1,0,1,0,0,0,0
7.5647 sec,0,0,0,1,0,1,0,0,0,0
7.5814 sec,0,0,0,1,0,1,0,0,0,0
7.5981 sec,0,0,0,1,0,1,0,0,0,0
7.6148 sec,0,0,0,1,0,1,0,0,0,0
7.6314 sec,0,0,0,1,0,1,0,0,0,0
7.6481 sec,0,0,0,1,0,1,0,0,0,0
7.6648 sec,0,0,0,1,0,1,0,0,0,0
7.6815 sec,0,0,0,1,0,1,0,0,0,0
7.6982 sec,0,0,0,1,0,1,0,0,0,0
7.7149 sec,0,0,0,1,0,1,0,0,0,0
7.7315 sec,0,0,0,1,0,1,0,0,0,0
7.7482 sec,0,0,0,1,0,1,0,0,0,0
7.7649 sec,0,0,0,1,0,1,0,0,0,0
7.7816 sec,0,0,0,1,0,1,0,0,0,0
7.7983 sec,0,0,0,1,0,1,0,0,0,0
7.815 sec,0,0,0,1,0,1,0,0,0,0
7.8316 sec,0,0,0,1,0,1,0,0,0,0
7.8483 sec,0,0,0,1,0,1,0,0,0,0
7.865 sec,0,0,0,1,0,1,0,0,0,0
7.8817 sec,0,0,0,1,0,1,0,0,0,0
7.8984 sec,0,0,0,1,0,1,0,0,0,0
7.9151 sec,0,0,0,1,0,1,1,0,0,0
7.9317 sec,0,0,0,1,0,0,1,0,0,0
7.9484 sec,0,0,0,1,0,0,1,0,0,0
7.9651 sec,0,0,0,1,0,0,1,0,0,0
7.9818 sec,0,0,0,1,0,0,1,0,0,0
7.9985 sec,0,0,0,1,0,0,1,0,0,0
8.0152 sec,0,0,0,1,0,0,1,0,0,0
8.0318 sec,0,0,0,1,0,0,1,0,0,0
8.0485 sec,0,0,0,1,0,0,1,0,0,0
8.0652 sec,0,0,0,1,0,0,1,0,0,0
8.0819 sec,0,0,0,1,0,0,1,0,0,0
8.0986 sec,0,0,0,1,0,0,1,0,0,0
8.1153 sec,0,0,0,1,0,0,1,0,0,0
8.1319 sec,0,0,0,1,0,0,1,0,0,0
8.1486 sec,0,0,0,1,0,0,1,0,0,0
8.1653 sec,0,0,0,1,0,0,0,1,0,0
8.182 sec,0,0,0,1,0,0,0,1,0,0
8.1987 sec,0,0,0,1,0,0,0,1,0,0
8.2154 sec,0,0,0,1,0,0,0,1,0,0
8.232 sec,0,0,0,1,0,0,0,1,0,0
8.2487 sec,0,0,0,1,0,0,0,1,0,0
